Result for 2018-11-15:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	35.23489814708629	0.45973	35.23489814708629	141	0.2211919021	0.8289968749	0.0128218207	0.54027	1459	1478	0 days 00:21:14.239648000	1
1	35.916636900180734	0.23476	35.916636900180734	701	0.2099760969	0.4839544512	0.2417639309	0.76524	647	1103	0 days 01:53:29.861479000	3
2	31.046143792713117	0.74125	31.046143792713117	71	0.3203990788	0.1615526411	0.0168267434	0.25875	1561	1273	0 days 00:04:32.382541000	2
3	35.50769347234075	0.69834	35.50769347234075	876	0.3299461203	0.8222129303	0.3472502733	0.30166	887	1199	0 days 00:58:54.050121000	1
4	35.463525212657956	0.65435	35.463525212657956	486	0.3541510434	0.4652388589	0.2028635259	0.34565	1031	1599	0 days 01:39:13.802453000	2
5	33.69468507632914	0.73536	33.69468507632914	832	0.5	0.6483548199	0.75	0.26464	100	2000	0 days 00:01:01.759980000	1
6	35.80083336724002	0.1261	35.80083336724002	740	0.1791004467	0.4871990477	0.2478452644	0.8739	561	991	0 days 01:44:55.539026000	3
7	34.37379541911707	0.9	34.37379541911707	1000	0.5	0.7769646635	0.75	0.1	100	100	0 days 00:02:24.109653000	3
8	35.80083336724002	0.13702	35.80083336724002	1000	0.1720606635	0.4681147621	0.75	0.86298	1866	604	0 days 00:34:49.385677000	3
9	35.62843017172847	0.87223	35.62843017172847	1000	0.368504829	0.8795625735	0.75	0.12777	516	788	0 days 00:01:22.968732000	1
10	35.916636900180734	0.34406	35.916636900180734	126	0.5	0.4641056224	0.0	0.65594	1416	100	0 days 00:04:52.791577000	3
11	32.991932722774536	0.5	32.991932722774536	1000	0.1209439053	0.4641156486	0.0	0.5	100	1921	0 days 04:44:44.413648000	3
12	35.79249280591664	0.23352	35.79249280591664	624	0.2422664431	0.484156062	0.2520658356	0.76648	699	1011	0 days 01:46:24.911989000	3
13	35.916636900180734	0.35227	35.916636900180734	182	0.4657187595	0.4633552185	0.0577230008	0.64773	1632	165	0 days 00:08:07.823940000	3
14	33.46932841110066	0.9	33.46932841110066	1000	0.5	0.9	0.75	0.1	100	100	0 days 00:00:37.464470000	1
15	35.916636900180734	0.11478	35.916636900180734	999	0.1	0.4901576557	0.3212984425	0.88522	531	1156	0 days 00:22:36.084684000	3
16	35.916636900180734	0.13057	35.916636900180734	901	0.1554093875	0.4892709574	0.3982082425	0.86943	768	691	0 days 00:26:31.971346000	3
17	35.80083336724002	0.3969	35.80083336724002	316	0.4953354967	0.4666058022	0.5426669086	0.6031	1515	125	0 days 00:05:28.522032000	1
18	35.916636900180734	0.19136	35.916636900180734	970	0.1360502752	0.4895886161	0.3550581896	0.80864	1186	527	0 days 00:17:10.731109000	3
19	35.744429897483364	0.34772	35.744429897483364	50	0.4655097684	0.4572034566	0.0	0.65228	1593	100	0 days 00:03:23.107020000	3
20	35.916636900180734	0.22451	35.916636900180734	997	0.1664771602	0.4862938091	0.4512704701	0.77549	888	629	0 days 01:24:45.132303000	3
21	35.916636900180734	0.3354	35.916636900180734	307	0.5	0.4770354595	0.0	0.6646	1180	160	0 days 00:07:41.785740000	3
