Result for 2018-06-01:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	129.56441410982436	0.22115	129.56441410982436	528	0.4541222724	0.5658281359	0.6623692887	0.77885	537	797	0 days 00:15:04.453323000	1
1	129.8110484221271	0.84494	129.8110484221271	267	0.4105961207	0.7817446934	0.3736808892	0.15506	331	183	0 days 00:00:25.710996000	2
2	116.87252586589706	0.62182	116.87252586589706	254	0.1068646309	0.102513777	0.3138561876	0.37818	392	915	0 days 00:01:11.583032000	1
3	122.21302094173977	0.54709	122.21302094173977	155	0.1453219716	0.1571423914	0.5744471644	0.45291	890	919	0 days 00:06:48.056597000	2
4	121.14126553247982	0.81359	121.14126553247982	159	0.3548822168	0.8228327295	0.0379688776	0.18641	407	912	0 days 00:02:05.751284000	1
5	130.00476052405864	0.82538	130.00476052405864	277	0.4130277626	0.7787306478	0.385696009	0.17462	333	179	0 days 00:00:28.939325000	2
6	128.9434819338847	0.5	128.9434819338847	600	0.5	0.9	0.75	0.5	100	100	0 days 00:00:10.821018000	2
7	120.7812997961291	0.87791	120.7812997961291	50	0.5	0.9	0.4312708424	0.12209	100	100	0 days 00:00:02.608885000	2
8	129.8110484221271	0.79651	129.8110484221271	281	0.4139628058	0.7765493936	0.4017772907	0.20349	332	165	0 days 00:00:31.328181000	2
9	129.26301026396095	0.44773	129.26301026396095	306	0.4193131106	0.8482305738	0.2116822011	0.55227	341	200	0 days 00:00:22.867404000	2
10	130.00476052405864	0.2152	130.00476052405864	556	0.4807117634	0.6176625959	0.75	0.7848	507	692	0 days 00:04:33.197420000	1
11	129.02910067834702	0.8833	129.02910067834702	288	0.421593768	0.7735779457	0.4375624879	0.1167	343	164	0 days 00:00:28.446106000	2
12	129.79297880370308	0.4233	129.79297880370308	269	0.3998624145	0.7373541148	0.3266503574	0.5767	349	180	0 days 00:00:37.707074000	2
13	129.74877956889418	0.84656	129.74877956889418	286	0.2770756077	0.461002615	0.3583452848	0.15344	184	381	0 days 00:00:17.956488000	2
14	130.00476052405864	0.45118	130.00476052405864	287	0.2628151074	0.7752929195	0.3749419689	0.54882	442	467	0 days 00:02:05.921882000	2
15	129.7900722070675	0.61183	129.7900722070675	277	0.2996988423	0.6842775296	0.3564017939	0.38817	331	373	0 days 00:00:51.180142000	2
16	129.79995967781753	0.58253	129.79995967781753	300	0.4183929437	0.8188084511	0.3693619091	0.41747	391	295	0 days 00:03:48.666806000	2
17	130.00476052405864	0.1	130.00476052405864	284	0.4064020657	0.9	0.3822732733	0.9	1000	405	0 days 00:11:00.240864000	2
