Result for 2018-06-01:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	122.72806739807129	0.38570376215741786	122.72806739807129	703	0.6142962378425822	1292	617	3
1	120.79059886932373	0.1886668572	120.79059886932373	1669	0.1786316829	1553	1935	2
2	121.33046770095825	0.49665683220536466	121.33046770095825	933	0.5033431677946353	964	1115	3
3	120.05893135070801	0.3735060278	120.05893135070801	296	0.2190780873	1795	1596	1
4	120.79059886932373	0.4856932655148494	120.79059886932373	1192	0.5143067344851506	1042	329	3
5	0.0	0.26351678239500054	0.0	674	0.7364832176049995	1074	508	2
6	119.04744625091553	0.385454389855602	119.04744625091553	699	0.6145456101443981	1292	1830	1
7	122.99246025085449	0.41371571288592585	122.99246025085449	1273	0.5862842871140742	1429	100	3
8	118.01231861114502	0.4789611864030134	118.01231861114502	1242	0.5210388135969867	1519	100	3
9	120.79059886932373	0.1861383357	120.79059886932373	1714	0.1572170615	1811	1180	3
10	118.01231861114502	0.3902047241889686	118.01231861114502	725	0.6097952758110314	1301	100	3
11	0.0	0.5	0.0	2000	0.5	100	100	1
12	122.99246025085449	0.5	122.99246025085449	2000	0.5	2000	768	3
13	122.99246025085449	0.5	122.99246025085449	2000	0.5	1849	765	3
14	122.99246025085449	0.5	122.99246025085449	2000	0.5	2000	762	3
15	121.42770957946777	0.40415603507889997	121.42770957946777	761	0.5958439649211001	1384	834	3
16	122.52653312683105	0.3827869600822041	122.52653312683105	696	0.617213039917796	1314	912	3
17	120.79059886932373	0.38716451621395775	120.79059886932373	829	0.6128354837860424	1261	215	3
18	0.0	0.4153730399475534	0.0	1274	0.5846269600524466	1524	130	3
19	122.86268901824951	0.3835821817710078	122.86268901824951	889	0.6164178182289923	1290	1072	3
20	118.53722763061523	0.356902752981285	118.53722763061523	509	0.643097247018715	1317	1542	3
21	121.61219310760498	0.3944557742846033	121.61219310760498	714	0.6055442257153967	1316	1397	3
22	124.02415561676025	0.5069297820641614	124.02415561676025	1203	0.49307021793583855	1316	1104	3
23	122.89556980133057	0.4885022717647895	122.89556980133057	1746	0.5114977282352104	1283	1044	3
24	122.30406188964844	0.45581648844792794	122.30406188964844	1234	0.5441835115520721	1418	1709	2


Result for 2018-06-10:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	132.94293975830078	0.515079282833472	132.94293975830078	1946	0.48492071716652796	319	572	2
1	134.51117134094238	0.4961296293966466	134.51117134094238	880	0.5038703706033533	1121	305	2
2	134.10355472564697	0.3026571827	134.10355472564697	579	0.3696784737	1911	1682	2
3	133.16801023483276	0.4157654273719404	133.16801023483276	616	0.5842345726280597	848	815	1
4	126.41311645507812	0.4894483408025975	126.41311645507812	1859	0.5105516591974024	235	1274	2
5	133.16801023483276	0.4553681205	133.16801023483276	1581	0.4995091874	1653	581	2
6	0.0	0.2345719274	0.0	1358	0.32220281	1813	189	1
7	0.0	0.3960609351692081	0.0	775	0.603939064830792	939	111	2
8	0.0	0.5303256651	0.0	866	0.4256733349	560	669	2
9	0.0	0.4892036893	0.0	1666	0.4845930409	1748	638	2
10	126.31887674331665	0.48925792703614485	126.31887674331665	1861	0.5107420729638551	233	1277	2
11	0.0	0.5362495188861472	0.0	1939	0.4637504811138528	279	121	2
12	118.80353927612305	0.47589981811038	118.80353927612305	1475	0.5241001818896199	231	1242	2
13	133.6755599975586	0.5033549470551383	133.6755599975586	879	0.4966450529448616	1121	305	2
14	0.0	0.40812210933193555	0.0	1843	0.5918778906680644	1122	292	2
15	133.42861366271973	0.521540390850397	133.42861366271973	319	0.47845960914960284	1121	307	2
16	134.93916606903076	0.3532491622	134.93916606903076	783	0.3784979827	1120	311	2
17	128.11529541015625	0.1396227946	128.11529541015625	1240	0.4390464892	1112	239	2
18	0.0	0.2070824227	0.0	311	0.4403545924	1112	428	2
19	0.0	0.5797874034813562	0.0	644	0.4202125965186439	1217	297	2
20	134.78227996826172	0.2662085066	134.78227996826172	669	0.50521295	1120	295	2
21	129.94664001464844	0.1086408231	129.94664001464844	961	0.4597353865	1119	288	2
22	134.51117134094238	0.6094084384572297	134.51117134094238	1300	0.3905915615427704	1119	287	2
23	134.93916606903076	0.3900274322	134.93916606903076	1235	0.458417308	1120	287	2
24	0.0	0.4676851535	0.0	819	0.4580128809	1120	287	2


Result for 2018-08-05:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	87.08620882034302	0.7785052113441593	87.08620882034302	97	0.22149478865584074	561	1023	2
1	95.86728429794312	0.7159933865	95.86728429794312	483	0.263562356	395	1440	1
2	98.84664487838745	0.3657823674	98.84664487838745	204	0.5257316972	295	1250	3
3	119.93256664276123	0.462673121	119.93256664276123	1529	0.2021454872	1352	1621	2
4	110.94026374816895	0.5784928359720928	110.94026374816895	1026	0.42150716402790717	272	1279	3
5	120.06182861328125	0.4168500922330173	120.06182861328125	1506	0.5831499077669827	1358	1718	1
6	120.2005386352539	0.553790239	120.2005386352539	165	0.1	2000	100	3
7	120.30870342254639	0.1	120.30870342254639	2000	0.9	2000	2000	1
8	120.30870342254639	0.33127756674207987	120.30870342254639	1397	0.6687224332579202	1412	2000	1
9	120.218994140625	0.32280631485970657	120.218994140625	1364	0.6771936851402934	1452	1524	1
10	117.2156114578247	0.35639285778644897	117.2156114578247	279	0.6436071422135511	2000	2000	1
11	120.2005386352539	0.5686936898	120.2005386352539	135	0.1	2000	100	3
12	120.2005386352539	0.4635685538845408	120.2005386352539	2000	0.5364314461154592	1997	1201	2
13	0.0	0.6751447749	0.0	2000	0.3098024863	1997	100	3
14	0.0	0.4322734378462533	0.0	2000	0.5677265621537466	100	100	3
15	120.15130710601807	0.1	120.15130710601807	2000	0.9	2000	1404	1
16	0.0	0.49571016875643775	0.0	1586	0.5042898312435622	1701	390	1
17	120.52151584625244	0.36710460431536085	120.52151584625244	1638	0.6328953956846393	2000	1313	3
18	120.30870342254639	0.526624367247225	120.30870342254639	2000	0.47337563275277506	1695	827	3
19	99.72420167922974	0.5016129720145643	99.72420167922974	2000	0.4983870279854357	100	2000	3
20	117.11042976379395	0.2513639634	117.11042976379395	149	0.1073484897	1651	744	2
21	120.2005386352539	0.46379529541170783	120.2005386352539	1385	0.5362047045882922	700	785	1
22	109.19542026519775	0.4737455714	109.19542026519775	1271	0.1931628091	146	429	1
23	104.51111316680908	0.4731045217	104.51111316680908	121	0.2119771255	454	1398	2
24	120.32809162139893	0.5882606336335174	120.32809162139893	1853	0.4117393663664826	1624	1402	2


