Result for 2018-12-03:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	276.83524131444847	0.2307029858	276.83524131444847	300	0.2761724165	341	419	2
1	283.03733351794426	0.48358711519372777	283.03733351794426	513	0.5164128848062723	1977	1645	1
2	277.7438113484218	0.6815210744519712	277.7438113484218	1541	0.3184789255480289	266	1463	2
3	275.9181324123341	0.7539759685189102	275.9181324123341	1638	0.24602403148108967	118	1042	3
4	283.2433110428407	0.47924016011614673	283.2433110428407	918	0.5207598398838532	225	394	3
5	283.03733351794426	0.45878010216815907	283.03733351794426	826	0.541219897831841	273	372	3
6	281.5059563569882	0.1	281.5059563569882	2000	0.6652761166	2000	2000	1
7	250.80146116623794	0.6162443879250106	250.80146116623794	50	0.3837556120749893	100	100	3
8	281.5059563569882	0.46053149726509973	281.5059563569882	907	0.5394685027349003	294	469	3
9	280.6328003251665	0.45373301788549714	280.6328003251665	787	0.5462669821145029	259	324	3
10	283.03733351794426	0.46425950139145394	283.03733351794426	898	0.535740498608546	243	390	3
11	281.5059563569882	0.47008883682094066	281.5059563569882	410	0.5299111631790594	2000	1693	1
12	281.5059563569882	0.49120082814386606	281.5059563569882	573	0.5087991718561339	1974	1616	1
13	280.6126716451716	0.5257411211538646	280.6126716451716	670	0.47425887884613543	1293	1653	1
14	277.56140456096267	0.5468130257	277.56140456096267	621	0.1	100	389	3
15	282.23593479904184	0.5012551128383337	282.23593479904184	1017	0.4987448871616662	243	388	2
16	281.41917344756826	0.4237917133804057	281.41917344756826	1115	0.5762082866195942	211	391	3
17	280.3283399095975	0.5320003725174723	280.3283399095975	914	0.4679996274825276	330	393	3
18	280.27793728332983	0.4060492708170049	280.27793728332983	850	0.593950729182995	204	386	2
19	283.2433110428407	0.3818626270491534	283.2433110428407	633	0.6181373729508466	2000	2000	2
20	280.6624291108555	0.6291634166073955	280.6624291108555	1077	0.37083658339260445	253	410	3
21	283.03733351794426	0.35536731231676855	283.03733351794426	605	0.6446326876832315	2000	2000	2
22	282.908576680999	0.45210865743429296	282.908576680999	698	0.547891342565707	1999	2000	2
23	283.24331104284073	0.1	283.24331104284073	914	0.9	2000	2000	3
24	283.2433110428407	0.5022409012602196	283.2433110428407	819	0.4977590987397804	1945	1667	1


Result for 2018-12-03:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	284.0328185949659	0.5649037817728622	284.0328185949659	1158	0.4350962182271378	1104	1420	3
1	283.74100689154045	0.723551553	283.74100689154045	711	0.1533080225	1575	665	1
2	283.81466761558886	0.1323917885	283.81466761558886	1809	0.8363436012	874	1141	3
3	284.1549310653001	0.37919610976551654	284.1549310653001	458	0.6208038902344835	1387	1055	2
4	284.1549310653001	0.3088701748615225	284.1549310653001	434	0.6911298251384775	271	193	2
5	246.09225779412668	0.8004993807584245	246.09225779412668	114	0.19950061924157553	550	1157	3
6	281.7319952653218	0.28982585065004896	281.7319952653218	387	0.710174149349951	201	266	2
7	283.95915787091747	0.5105381142657326	283.95915787091747	1419	0.48946188573426747	1414	1421	3
8	284.1549310653001	0.6295523346396212	284.1549310653001	2000	0.37044766536037876	2000	2000	1
9	284.2933284669591	0.5	284.2933284669591	2000	0.5	2000	2000	1
10	283.95915787091747	0.1	283.95915787091747	2000	0.7140812474	635	1120	2
11	275.6036998131249	0.1	275.6036998131249	50	0.7120165398	2000	100	1
12	284.1549310653001	0.352564515260232	284.1549310653001	872	0.6474354847397681	1366	1050	2
13	284.1549310653001	0.5021388214976769	284.1549310653001	1156	0.4978611785023231	1158	1439	3
14	281.6773066394977	0.3095085892876007	281.6773066394977	619	0.6904914107123993	1058	188	2
15	279.74343722770607	0.3197586184647333	279.74343722770607	607	0.6802413815352667	100	194	2
16	282.86578921882386	0.3161712328468331	282.86578921882386	379	0.6838287671531669	293	154	2
