Result for 2018-06-01:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	26.358906935088573	0.573353512	115.63109306491143	1421	0.2438712623	638	1346	2
1	47.57012950741524	0.3951524724	116.08987049258477	1270	0.3518012013	1308	1081	3
2	-12.32419059909111	0.4936952934	115.38419059909111	538	0.3907992278	1156	767	1
3	51.33420947872871	0.3052823675998172	116.24579052127129	1494	0.6947176324001828	1109	1460	2
4	5.6453638061212885	0.3619549710483801	113.64463619387871	655	0.63804502895162	672	1319	2
5	-13.28052852786308	0.4960956372	115.84052852786309	528	0.370662536	1182	736	1
6	-27.824220264993926	0.5915785507	106.50422026499392	156	0.1	1500	100	1
7	86.45	0.8015552912	0.0	415	0.1	1500	100	1
8	78.62	0.5898460543	0.0	154	0.1000085812	1500	100	1
9	85.04	0.6770548222	0.0	452	0.3203744459	877	660	1
10	22.29420947872871	0.37903861315058573	116.24579052127129	1490	0.6209613868494142	1462	134	3
11	-19.99051195963503	0.1	104.69051195963503	678	0.1616535888	148	1211	1
12	-30.285790521271288	0.4523797577734484	116.24579052127129	740	0.5476202422265515	747	347	2
13	14.889471472136918	0.4734681457	115.84052852786309	1339	0.3508262319	1380	384	2
14	9.123273237578807	0.1827747892	115.77672676242119	294	0.44690448	981	1171	3
15	-8.229247743256145	0.4320620106200786	109.33924774325615	125	0.5679379893799215	880	804	3
16	-21.88727371196313	0.426362905	111.25727371196314	591	0.1431009167	814	477	2
17	-33.09109306491143	0.2561409504	115.63109306491143	1146	0.6473874094	238	466	2
18	-16.657183648712703	0.46005857179047216	115.9471836487127	1227	0.5399414282095278	480	582	2
19	15.841546209685742	0.1702944944	115.85845379031426	1470	0.5337987756	363	1077	3
20	7.661788450059078	0.7112230721553788	98.97821154994092	624	0.28877692784462117	272	1176	3
21	-0.4618908897710412	0.40679247413692415	107.30189088977104	112	0.5932075258630759	950	887	3
22	-16.945904034219993	0.1295400957	105.94590403421999	1176	0.5335678314	787	306	1
23	29.3682461913752	0.4025868857360833	114.0417538086248	367	0.5974131142639166	1358	1452	2
24	23.702612589232864	0.6724239806180289	107.78738741076714	367	0.3275760193819712	1043	1219	3
25	-18.194220264993913	0.2542016421	106.50422026499392	1101	0.1827975229	262	370	3
26	38.41890693508857	0.3068595048	115.63109306491143	1335	0.4231000123	1345	755	3
27	-1.5512266390204559	0.5928165715	94.12122663902045	195	0.2166715408	593	1325	1
28	-18.61801292575127	0.5016926008126275	115.38801292575127	635	0.49830739918737255	799	644	2
29	-35.764222203857955	0.2615851116	108.24422220385796	600	0.5244384465	100	762	2
30	-15.284340771280533	0.2638690741	95.64434077128054	268	0.5864079979	100	1458	1
31	-34.90343026625196	0.7719752740847147	92.43343026625196	147	0.2280247259152854	100	478	3
32	21.0	0.5	0.0	100	0.5	100	100	1
33	-42.53090930919214	0.1418918525	111.06090930919214	903	0.7233729698	100	186	3
34	-2.7302937332463912	0.1	111.04029373324639	709	0.2751074129	100	1326	3
35	-16.290244530283232	0.9	95.86024453028323	107	0.1	100	1309	2
36	-40.76125429972292	0.5481984787	106.04125429972292	1368	0.2452566669	100	256	1
37	21.0	0.1	0.0	100	0.9	100	100	1
